ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
3495,FL-2009-000123-BGD,Bangladesh,0,89.0861,25.2562,49031.89,03-07-09,06-07-09,News,20,700000,Torrential Rain,1
3498,0,China,0,112.712,25.3072,542051.73,01-07-09,06-07-09,News,20,700000,Heavy Rain,1.5
15,0,Brazil,0,-48.0987,-4.13519,1970402.21,02-04-85,17-04-85,News,32,700000,Heavy rain,2
3121,0,Colombia,0,-75.5933,8.3753,69988.11,27-06-07,10-09-07,News,43,700000,Heavy rain,1
3852,,India,Bangladesh,88.3453,22.3056,28684.15,10-08-11,13-09-11,News,47,700000,Monsoonal Rain,2
106,0,India,,89.4296,23.6547,231516.28,22-09-86,10-10-86,News,49,700000,Heavy rain,1
1334,0,Argentina,Paraguay,-60.1238,-25.0627,541026.68,14-04-98,10-05-98,News,68,700000,Heavy rain,2
2768,0,Thailand,Malaysia,100.124,7.20467,70520.88,23-11-05,12-01-06,News,69,700000,Monsoonal rain,2
576,0,Cambodia,0,105.268,11.5369,55858.69,22-08-91,30-08-91,News,100,700000,Heavy rain,1
2979,FL-2006-000161-SOM,Kenya,Somalia,39.7224,0.781782,950041.45,23-10-06,04-01-07,News,150,700000,Heavy rain,1
2332,0,China,0,107.985,35.6812,471060.82,24-08-03,12-11-03,News,123,670000,Heavy rain,2
1660,0,Philippines,0,121.177,14.4934,5875.21,03-11-00,05-11-00,News,43,668000,Tropical cyclone,1
3857,,Pakistan,,69.0669,25.0123,32667.16,12-08-11,01-11-11,News,434,660000,Monsoonal Rain,1.5
528,0,China,0,106.342,29.1481,589049.52,01-07-91,18-07-91,News,750,615000,Heavy rain,1
3371,0,Bangladesh,0,90.21,25.0288,59248.82,30-08-08,08-09-08,News,0,600000,Monsoon Rains,1.5
3679,0,Bangladesh,0,90.0355,23.9949,24987.26,01-07-10,13-07-10,0,0,600000,Monsoonal Rain,1
4395,,Japan,,137.374,36.2072,139834.53,20-09-16,22-09-16,News,0,600000,Tropical Storm Malakas,1.5
2879,FF-2006-000082-IND,India,Bangladesh,94.0245,26.5993,185348.84,31-05-06,24-07-06,News,21,600000,Monsoonal rain,1
3173,0,Philippines,,119.914,27.0039,460403.43,17-08-07,24-08-07,News,42,600000,Tropical cyclone,1.5
345,0,Bangladesh,0,91.5698,24.6208,9525.39,01-08-89,07-08-89,News,200,600000,Monsoonal rain,1
513,0,China,0,110.256,28.7346,1682864.93,18-05-91,15-06-91,News,400,600000,Heavy rain,2
973,0,Pakistan,0,68.5019,29.8869,672265.35,19-07-95,10-08-95,News,600,600000,Monsoonal rain,1
884,0,China,0,120.692,31.1521,206025.85,21-08-94,24-08-94,News,762,600000,Tropical cyclone,2
805,0,Philippines,Vietnam,108.845,12.3152,46913.01,05-12-93,13-12-93,News,353,598000,Tropical cyclone,1
463,0,Vietnam,0,107.662,16.0991,20589.65,22-09-90,26-09-90,News,29,560000,Tropical cyclone,1
281,0,Phillipines,0,125.355,11.2304,35394.81,25-01-89,08-02-89,News,72,551051,Monsoonal rain,1
2728,0,India,0,82.5389,21.1139,374448.85,14-09-05,30-09-05,News,89,550000,Heavy rain,1
926,0,Philippines,0,125.042,11.2536,51066.39,19-12-94,23-12-94,News,10,548000,Tropical cyclone,1
3232,0,Philippines,0,122.01,17.0782,33589.73,25-11-07,02-12-07,News,29,540000,Tropical cyclone,1
3166,FL-2007-000132-BFA,Ghana,,0.612005,13.0377,1695464.52,26-07-07,10-10-07,News,153,540000,Heavy rain,1.5
1106,0,North Korea,South Korea,127.46,39.0121,100943.59,25-07-96,30-08-96,News,205,535000,Heavy Rain,1
275,0,New Caledonia,0,165.503,-21.2427,18853.46,02-01-89,08-01-89,News,196,532000,Tropical cyclone,1
89,0,Philippines,,120.905,15.6456,46621.61,09-07-86,13-07-86,News,103,530000,Tropical cyclone,1
3674,FL-2010-000125-IND,India,,74.7785,30.1895,147437.23,05-07-10,15-07-10,0,98,523000,Monsoonal Rain,1
3170,FL-2007-000161-UGA,Uganda,,34.2759,0.88127,107797.14,15-08-07,31-10-07,News,52,520000,Heavy rain,1.5
1010,0,India,0,87.3749,22.4615,308073.2,26-09-95,02-10-95,News,144,510000,Monsoonal rain,1
809,0,Sri Lanka,0,80.7928,8.56672,24712.98,15-12-93,27-12-93,News,0,500000,Heavy rain,2
3497,,India,,84.7692,20.2249,99876.58,01-07-09,06-07-09,News,0,500000,Heavy Rain,1
2105,0,Sri Lanka,0,80.9935,8.4736,14147.74,16-12-02,20-12-02,News,2,500000,Heavy rain,1
3732,0,Bangladesh,0,91.035,24.21,29265.76,01-10-10,12-10-10,News,15,500000,Heavy Rain and Storm Surge,1.5
4178,,Bangladesh,,90.6333,24.5661,35999.91,20-08-14,08-09-14,News,17,500000,Monsoonal Rain,1.5
